ANIO;TEMPORADA;OBRA;OBRA_OBSERVACION;ASISTENTES;FECHA;HORA;OBSERVACIONES_FECHA
2012;OFBA;;OFBA/TEATRO 25 DE MAYO -PAGA;;27/06/2012; 20:00 hs;
2012;OFBA;;OFBA/USINA DEL ARTE - GRATUITA;;18/07/2012; 20:00 hs;
2012;OFBA;;OFBA/TEATRO 25 DE MAYO -PAGA;;19/09/2012; 20:00 hs;
2012;OFBA;;OFBA/TEATRO 25 DE MAYO -PAGA;;14/11/2012; 20:00 hs;
2012;CONCIERTOS BICENTENARIO ;ANGELA GHEORGHI Y ROBERTO ALAGNA CON LA ORQ.ESTABLE;ANGELA GHEORGHI Y ROBERTO ALAGNA CON LA ORQ.ESTABLE;2269;11/04/2012; 20:30 hs;
2012;CONCIERTOS BICENTENARIO ;BACH AKADEMIE- HELMUTH RILLING;BACH AKADEMIE- HELMUTH RILLING;1922;08/05/2012; 20:30 hs;
2012;CONCIERTOS BICENTENARIO ;LAN G LANG (PIANO);LANG - LANG;2372;26/05/2012; 20:30 hs;
2012;CONCIERTOS BICENTENARIO ;EVGENE KISSIN ( PIANO);CAMBIO DE PROGRAMA/MAXIM VENGEROV;2120;14/09/2012; 20:30 hs;
2012;CONCIERTOS BICENTENARIO ;ANDRIS SCHIFF, PIANO ;ANDRIS SCHIFF;2072;22/08/2012; 20:30 hs;
2012;CONCIERTOS BICENTENARIO ;ARKADI VOLODOS ( PIANO);ARKADI VOLODOS;1656;04/09/2012;20:30 hs;
